Name,Location,Quantity,Price
lacus. Cras interdum.,Pittsford,176.31558896233,$0.12
"Sed congue, elit",Pittsford,204.46639859249,$0.27
elit. Curabitur sed,Pittsford,186.9798463526,$0.16
magnis dis parturient,Pittsford,171.36167258293,$0.12
tincidunt vehicula risus.,Pittsford,220.47198123012,$0.26
"mi, ac mattis",Pittsford,231.53914198668,$0.05
"Integer sem elit,",Pittsford,189.49494727358,$0.30
nisi a odio,Pittsford,202.8506566427,$0.08
eu metus. In,Pittsford,150.91459349726,$0.11
ipsum dolor sit,Pittsford,168.54899198591,$0.09
dapibus quam quis,Pittsford,189.05961130722,$0.08
"et, eros. Proin",Pittsford,196.94945524206,$0.27
Nulla semper tellus,Pittsford,188.56704289912,$0.29
posuere cubilia Curae;,Pittsford,212.07697803479,$0.04
consequat dolor vitae,Pittsford,175.36890102968,$0.11
Integer mollis. Integer,Pittsford,215.10349573549,$0.10
ligula. Aliquam erat,Pittsford,242.84518942964,$0.28
"posuere vulputate, lacus.",Pittsford,215.65811105505,$0.22
tortor nibh sit,Pittsford,187.95390816183,$0.23
netus et malesuada,Pittsford,202.05744665454,$0.27
